卫视频道,#genre#
安多卫视,http://stream.qhbtv.com/adws/sd/live.m3u8
安徽卫视,http://219.154.185.68:4022/rtp/225.1.4.87:1116
安徽卫视,http://42.227.88.121:4022/rtp/225.1.4.87:1116
北京卫视,http://219.154.185.68:4022/rtp/225.1.4.81:1110
北京卫视,http://42.227.88.121:4022/rtp/225.1.4.81:1110
兵团卫视,http://219.154.185.68:4022/rtp/225.1.4.97:1126
兵团卫视,http://42.227.88.121:4022/rtp/225.1.4.97:1126
东方卫视,http://219.154.185.68:4022/rtp/225.1.4.85:1114
东方卫视,http://42.227.88.121:4022/rtp/225.1.4.85:1114
东方卫视,http://219.154.185.68:4022/rtp/225.1.4.85:1114
东方卫视,http://42.227.88.121:4022/rtp/225.1.4.85:1114
东方卫视,https://bp-cdn-ali.bestv.cn/enhance/bestvdfws_enhance.m3u8?auth_key=1745686805-f714e77a652c484d9da9245933fc45f0-0-e2cc0c694062684a2852c90a084f952e
甘肃卫视,https://hls.gstv.com.cn/skt649/479u8o.m3u8
广西卫视,https://hlscdn.liangtv.cn/live/0c4ef3a44b934cacb8b47121dfada66c/d7e04258157b480dae53883cc6f8123b.m3u8
海南卫视,https://livelyws.chinamcache.com/lyws/newzb02.m3u8?auth_key=1726280384-0-0-2d49871fcd872001aea079c68303991c
海南卫视,http://nn.7x9d.cn/地方台8563/海南.php?id=hnws
海南卫视,https://livelyws.chinamcache.com/lyws/newzb02.m3u8?auth_key=1726280384-0-0-2d49871fcd872001aea079c68303991c
海南卫视,http://nn.7x9d.cn/地方台8563/海南.php?id=hnws
河北卫视,https://tv.pull.hebtv.com/jishi/weishipindao.m3u8?t=1745607617&k=ac6b7c82f1f16c6c660ca37c09644766
河南卫视,http://219.154.185.68:4022/rtp/225.1.4.98:1127
河南卫视,http://42.227.88.121:4022/rtp/225.1.4.98:1127
河南卫视,http://1.94.31.214/php/hntv.php?id=hnws
河南卫视,http://nctv.top/IDOEPpiryt/hntv.php?id=hnws
河南卫视,http://tvcdn.stream3.hndt.com/tv/65c4a6d5017e1000b2b6ea2500000000_transios/playlist.m3u8?wsSecret=905c9fb0b09477374d0795fb0c9781eb&wsTime=1745614808&wsSession=70fb1ed2cf263ab7a82970ad-174560040877312&wsIPSercert=965199407363e75c3ccb566d6f002965&wsiphost=local&wsBindIP=1
黑龙江卫视,http://219.154.185.68:4022/rtp/225.1.4.91:1120
黑龙江卫视,http://42.227.88.121:4022/rtp/225.1.4.91:1120
黑龙江卫视,http://219.154.185.68:4022/rtp/225.1.4.91:1120
黑龙江卫视,http://42.227.88.121:4022/rtp/225.1.4.91:1120
黑龙江卫视,https://idclive.hljtv.com:4430/live/hljws_own.m3u8
湖北卫视,http://219.154.185.68:4022/rtp/225.1.4.89:1119
湖北卫视,http://42.227.88.121:4022/rtp/225.1.4.89:1119
湖北卫视,http://219.154.185.68:4022/rtp/225.1.4.89:1119
湖北卫视,http://42.227.88.121:4022/rtp/225.1.4.89:1119
湖南卫视,http://219.154.185.68:4022/rtp/225.1.4.82:1111
湖南卫视,http://42.227.88.121:4022/rtp/225.1.4.82:1111
湖南卫视,http://219.154.185.68:4022/rtp/225.1.4.82:1111
湖南卫视,http://42.227.88.121:4022/rtp/225.1.4.82:1111
江苏卫视,http://219.154.185.68:4022/rtp/225.1.4.83:1112
江苏卫视,http://42.227.88.121:4022/rtp/225.1.4.83:1112
江苏卫视,http://nctv.top/IDOEPpiryt/jstv5.php?id=jsws
江苏卫视,http://219.154.185.68:4022/rtp/225.1.4.83:1112
江苏卫视,http://42.227.88.121:4022/rtp/225.1.4.83:1112
江苏卫视,http://nctv.top/IDOEPpiryt/jstv5.php?id=jsws
内蒙古卫视,http://219.154.185.68:4022/rtp/225.1.4.45:1074
内蒙古卫视,http://42.227.88.121:4022/rtp/225.1.4.45:1074
内蒙古卫视,http://219.154.185.68:4022/rtp/225.1.4.45:1074
内蒙古卫视,http://42.227.88.121:4022/rtp/225.1.4.45:1074
宁夏卫视,http://219.154.185.68:4022/rtp/225.1.4.43:1072
宁夏卫视,http://42.227.88.121:4022/rtp/225.1.4.43:1072
宁夏卫视,http://219.154.185.68:4022/rtp/225.1.4.43:1072
宁夏卫视,http://42.227.88.121:4022/rtp/225.1.4.43:1072
青海卫视,http://219.154.185.68:4022/rtp/225.1.4.44:1073
青海卫视,http://42.227.88.121:4022/rtp/225.1.4.44:1073
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8?/1.m3u8=ba357f031594546763
青海卫视,http://219.154.185.68:4022/rtp/225.1.4.44:1073
青海卫视,http://42.227.88.121:4022/rtp/225.1.4.44:1073
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8?/1.m3u8=ba357f031594546763
人间卫视,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/chunklist_w614428743.m3u8
人间卫视,https://5ddce30eb4b55.streamlock.net:443/bltvhd/bltv1/chunklist.m3u8
人间卫视,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/playlist.m3u8
人间卫视,http://61.216.67.119:1935/bltvhd/bltv1/chunklistw1266569526.m3u
三沙卫视,http://nn.7x9d.cn/地方台8563/海南.php?id=ssws
三沙卫视,http://nn.7x9d.cn/地方台8563/海南.php?id=ssws
山东卫视,http://219.154.185.68:4022/rtp/225.1.4.88:1117
山东卫视,http://42.227.88.121:4022/rtp/225.1.4.88:1117
山东卫视,http://219.154.185.68:4022/rtp/225.1.4.88:1117
山东卫视,http://42.227.88.121:4022/rtp/225.1.4.88:1117
深圳卫视,http://219.154.185.68:4022/rtp/225.1.4.90:1119
深圳卫视,http://42.227.88.121:4022/rtp/225.1.4.90:1119
深圳卫视,http://219.154.185.68:4022/rtp/225.1.4.90:1119
深圳卫视,http://42.227.88.121:4022/rtp/225.1.4.90:1119
天津卫视,http://219.154.185.68:4022/rtp/225.1.4.86:1115
天津卫视,http://42.227.88.121:4022/rtp/225.1.4.86:1115
天津卫视,http://219.154.185.68:4022/rtp/225.1.4.86:1115
天津卫视,http://42.227.88.121:4022/rtp/225.1.4.86:1115
西藏卫视,http://219.154.185.68:4022/rtp/225.1.4.46:1075
西藏卫视,http://42.227.88.121:4022/rtp/225.1.4.46:1075
西藏卫视,http://php.jdshipin.com/xztv.php?id=ws
西藏卫视,http://219.154.185.68:4022/rtp/225.1.4.46:1075
西藏卫视,http://42.227.88.121:4022/rtp/225.1.4.46:1075
西藏卫视,http://php.jdshipin.com/xztv.php?id=ws
西藏卫视,https://tv.vtibet.cn/live/h701F9MpxzPDyE.m3u8?secret=23ee6f197e348f8fe917226a07d148a2&time=680bbf96
厦门卫视,http://219.154.185.68:4022/rtp/225.1.4.95:1124
厦门卫视,http://42.227.88.121:4022/rtp/225.1.4.95:1124
厦门卫视,https://live1b.kxm.xmtv.cn/xmtvbf/tvzb/live.m3u8
香港卫视,rtmp://zhibo.hkstv.tv/livestream/mutfysrq
香港卫视,https://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港卫视,http://zhibo.hkstv.tv:80/livestream/mutfysrq.flv
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港卫视,http://cctvtxyh5c.liveplay.myqcloud.com/cstv/xianggangweishi_2/index.m3u8
香港卫视,http://anren.live/HK/BSJDUFpB.m3u8
香港卫视,https://stream1.freetv.fun/5335c88a9a7d8b74173b491f480d4f94e8d3bd596af54478106aa2399e6c7917.ctv
